== Parameters ==
2015_1: -6.11895, -2.86569, -4.21871, -2.24143, -3.26743, -2.9944, -3.36909, -2.67385, -3.34189, -3.15214, -3.27766, -2.91399, -2.82806, -4.42169, -4.262, -3.64495, -3.13336, -3.01465, -2.43678, -3.27511, -3.32322, -3.86551, -3.72783, -2.87378, -3.62605, -3.85076, -2.51886, -3.50351, -2.96892, -4.19919, -3.71452, -5.18723, -4.68819, -3.10493, -2.45726, -3.20779, -35.8027, -3.42455, -3.40729, -2.41529, 
2012_8: -4.09558, -4.54999, -2.8653, -2.86382, -3.87154, -2.02276, -3.96512, -4.08992, -3.87133, -4.10815, -2.91013, -4.80274, -4.77165, -2.81401, -2.4481, -4.08075, -4.21479, -3.77363, -4.60801, -4.06205, -4.43075, -3.0817, -6.71349, -3.34464, -4.97967, -4.62087, -2.38133, -4.11382, -2.99009, -3.90355, -3.99769, -3.09368, -3.82097, -2.97349, -3.59681, -4.15257, -3.42457, -3.27023, -4.0187, -2.94133, 
2009_6: -3.98494, -4.02016, -3.30416, -2.84587, -4.01419, -1.91492, -3.53149, -3.39657, -3.70361, -4.83001, -3.75264, -9.89793, -7.67746, -3.41166, -2.64286, -4.71617, -4.11566, -3.44021, -3.08033, -3.34567, -3.51929, -4.08903, -4.43409, -3.22095, -4.20142, -4.45473, -2.3758, -3.15152, -2.97397, -3.86132, -3.48472, -3.46924, -5.72424, -3.09694, -2.93439, -3.27916, -5.91686, -3.14066, -4.09358, -2.91072, 
2009_3: -4.09526, -3.40643, -3.48961, -2.64285, -3.43985, -2.03337, -3.28427, -2.72867, -3.36651, -3.87431, -3.71714, -2.66679, -3.35799, -4.06449, -2.49853, -4.18585, -4.10314, -3.72986, -2.69335, -3.00338, -3.46652, -4.12527, -3.94924, -3.09265, -4.0486, -4.28203, -2.66085, -3.40192, -3.9497, -3.91568, -3.46883, -4.17093, -4.28983, -3.72004, -2.68832, -4.13848, -3.58421, -3.25174, -3.48741, -2.731, 
2007_2: -3.5092, -3.43238, -4.09937, -2.77368, -4.74337, -1.83289, -3.45396, -2.80908, -3.19578, -3.52186, -4.06355, -1.97258, -3.34199, -4.51987, -2.75893, -3.89369, -2.96151, -3.46195, -2.67726, -3.20894, -3.51858, -3.8259, -2.91231, -2.79633, -3.73344, -4.76458, -2.57586, -2.95687, -4.34076, -4.33957, -3.21733, -4.57412, -4.65787, -3.26814, -2.48787, -3.78798, -4.06739, -3.97394, -3.72858, -2.34882, 
2008_7: -3.56512, -3.81956, -2.91324, -3.16738, -4.27969, -2.30653, -3.52085, -3.81272, -3.94787, -4.11583, -3.75411, -4.2276, -3.7534, -3.10463, -2.51514, -4.70775, -4.38972, -3.31866, -3.87575, -5.80373, -4.27944, -3.50801, -4.55628, -3.08172, -4.12408, -4.67123, -2.60882, -4.39689, -3.03191, -4.12639, -3.5526, -3.19825, -3.95958, -3.00611, -3.07687, -3.74722, -5.10577, -3.24665, -3.93805, -3.30438, 
2008_0: -4.28347, -3.32595, -3.89955, -2.97698, -3.8128, -1.985, -3.39409, -3.0526, -3.06967, -3.61063, -4.16156, -2.07178, -2.97296, -4.34638, -2.78263, -4.15264, -3.18717, -3.39, -2.4306, -3.44054, -2.86192, -4.0897, -2.19931, -2.88456, -3.40759, -4.24246, -2.91397, -2.82049, -3.58608, -3.73627, -3.16687, -3.96129, -4.60993, -4.55443, -2.37601, -3.51012, -3.41296, -3.67369, -3.73624, -1.84705, 
2012_5: -3.99246, -3.36853, -3.56661, -3.71081, -3.7148, -1.73987, -3.19299, -3.64936, -3.8985, -4.04454, -3.54485, -3.62883, -3.2557, -3.66903, -2.41558, -4.44026, -4.05526, -3.18543, -2.85566, -3.49462, -4.03909, -5.22976, -4.02465, -3.65072, -4.49118, -4.57444, -2.616, -3.31041, -3.68804, -4.53457, -3.8302, -3.268, -5.1122, -3.11267, -4.35149, -3.43373, -4.02364, -3.01006, -3.70545, -2.47963, 
2016_5: -5.35349, -4.04836, -3.30622, -3.29641, -3.52632, -1.99153, -5.06375, -3.33475, -3.2118, -3.83501, -2.89688, -4.20666, -3.77078, -3.36463, -2.32372, -3.98515, -4.08734, -5.37073, -3.8421, -2.84479, -4.06433, -4.0042, -3.33895, -2.94606, -3.72211, -3.74461, -2.2822, -3.22201, -2.50547, -3.45227, -3.94575, -3.71816, -3.93714, -3.20044, -3.13092, -4.01982, -3.53765, -2.96313, -5.62926, -2.85338, 
2008_2: -3.71963, -3.1067, -5.72206, -2.24597, -3.85541, -2.49642, -2.77485, -2.54027, -3.19074, -3.60923, -4.06963, -2.38756, -3.06311, -4.46149, -2.93894, -4.52684, -3.35243, -3.42998, -2.3791, -3.79156, -5.91814, -3.99427, -2.76063, -2.73456, -3.17324, -5.28687, -2.60634, -3.30052, -4.08416, -5.97582, -3.38255, -4.46998, -5.12093, -3.25925, -2.35528, -3.42236, -3.9552, -3.703, -3.82355, -2.21656, 
