== Parameters ==
2004_5: -8.88203, -3.88922, -4.06197, -2.7893, -4.16038, -2.16787, -2.94556, -2.66781, -2.1213, -1.79786, -2.61283, -4.01235, -3.03117, -2.5887, -1.78023, -2.04606, -2.87584, -2.63085, -2.35614, -2.95031, -2.62296, -2.56339, -3.52885, -1.90939, -1.28054, -4.96434, -2.50366, -2.70018, -3.01902, -3.13758, 
2008_1: -3.53949, -3.21174, -3.89333, -3.60645, -1.94473, -1.81603, -3.83162, -2.77411, -3.74623, -1.39552, -4.32154, -5.19222, -3.10419, -3.09979, -1.55757, -4.40517, -2.22965, -3.97949, -3.60977, -3.67057, -1.5842, -1.57691, -1.86661, -1.86117, -0.975752, -4.16391, -2.90826, -3.64436, -3.19332, -3.50519, 
2008_6: -7.08239, -3.59234, -3.81884, -7.87329, -3.25715, -2.27643, -3.4087, -4.44113, -1.84642, -1.23417, -2.99892, -3.75568, -4.76816, -3.63663, -0.0216277, -3.25088, -3.69467, -5.12474, -2.65853, -3.4863, -2.98555, -3.61679, -2.5346, -2.39595, -2.43345, -3.72386, -4.5472, -2.90899, -4.01655, -4.15009, 
2014_2: -3.42113, -4.07873, -2.24569, -3.88811, -2.62207, -2.45942, -4.58433, -4.03868, -2.97773, -0.770056, -4.16092, -3.49902, -3.43345, -3.17147, -0.92047, -3.69446, -3.79966, -2.54687, -3.97917, -9.37575, -1.69449, -2.71222, -1.73931, -2.76367, -1.19365, -2.77418, -3.19228, -2.64298, -3.58049, -1.44317, 
2014_3: -2.78276, -3.64459, -2.15497, -3.37305, -2.42791, -2.18291, -3.04213, -3.03136, -3.32466, -1.08364, -3.82232, -4.58525, -5.16198, -2.82442, -1.25885, -3.04569, -2.64844, -3.18604, -7.17718, -3.87971, -2.05125, -2.99106, -3.01577, -2.81401, -1.67385, -3.25106, -3.27869, -3.50873, -3.41953, -2.17614, 
2012_6: -3.83576, -3.64685, -2.68912, -4.24908, -2.79709, -3.04613, -3.59543, -3.5608, -1.95728, -1.07219, -3.35304, -3.93009, -3.06558, -3.97627, -1.06847, -3.40242, -2.80208, -3.25539, -3.51007, -3.72636, -3.64742, -2.98304, -1.66637, -3.51743, -1.57005, -7.09154, -2.08384, -2.23005, -3.20202, -2.93654, 
2011_8: -3.3046, -4.18226, -1.71321, -4.1864, -2.74828, -2.05342, -3.99431, -3.25575, -1.97293, -0.937102, -2.82355, -4.25853, -3.48827, -3.97211, -0.858774, -3.86322, -1.69703, -3.7229, -6.2012, -3.16857, -2.39108, -3.25198, -2.09361, -4.04448, -2.22638, -3.47039, -1.51375, -3.46415, -3.8257, -3.54344, 
2007_6: -2.92731, -3.9565, -2.28093, -3.21932, -4.0854, -2.03884, -3.25197, -2.85739, -2.75008, -1.35119, -2.52136, -2.95792, -2.43719, -2.83083, -1.53555, -2.95319, -2.91704, -2.19836, -2.84887, -3.11383, -2.68873, -2.60136, -2.79231, -3.14844, -1.5227, -4.56327, -2.60103, -2.98004, -2.88136, -8.40578, 
2015_7: -2.82766, -3.40216, -2.05258, -3.49726, -2.79249, -3.79045, -4.80286, -3.9592, -2.68448, -1.07962, -3.73869, -3.59926, -3.25921, -3.76779, -0.211672, -3.7426, -1.94138, -3.2111, -4.67559, -2.39844, -2.73074, -2.81585, -2.25468, -2.81551, -1.92615, -4.41062, -1.69699, -2.20495, -2.88498, -2.0471, 
2012_3: -4.53229, -4.89141, -2.91226, -4.25339, -2.7193, -1.97197, -4.24847, -4.06252, -2.01203, -0.693633, -4.02238, -3.50746, -3.68909, -3.561, -1.87868, -2.64298, -3.12304, -2.44478, -4.3238, -3.51397, -2.49978, -2.15039, -1.6702, -2.45914, -0.94063, -3.00032, -2.88596, -2.48073, -3.52448, -3.02018, 
2003_6: -2.67868, -2.19479, -2.54957, -3.05669, -1.26793, -4.79641, -2.32327, -5.97804, -2.65825, -1.20202, -3.03619, -4.39354, -2.42969, -1.94157, -3.44933, -1.25878, -1.82495, -2.7946, -5.61699, -3.44837, -1.8944, -1.42596, -2.67865, -2.34993, -0.5782, -4.57654, -1.62612, -3.88448, -2.261, -2.80438, 
2011_2: -3.89834, -3.81909, -2.87542, -4.57847, -2.40436, -2.5391, -3.06048, -2.44513, -3.07853, -1.18081, -4.14231, -2.98143, -3.59679, -3.04734, -1.32396, -3.07466, -3.06975, -3.81493, -4.462, -3.86058, -3.01074, -2.94378, -1.93934, -5.34993, -1.64003, -3.80359, -1.91569, -2.56058, -3.47809, -3.43237, 
2011_3: -2.26475, -3.32612, -3.14407, -3.86989, -3.49524, -2.60775, -3.43827, -3.43769, -3.25473, -1.04736, -3.84805, -3.83903, -3.6913, -3.18161, -1.03607, -2.77432, -2.67866, -3.25231, -3.94886, -3.47562, -2.41488, -2.74681, -1.96988, -3.29489, -1.06509, -3.90057, -2.15495, -3.1214, -3.32021, -3.19932, 
2016_4: -2.8284, -7.32119, -2.15715, -3.71678, -2.67972, -2.80768, -3.86895, -3.87866, -2.76099, -0.865941, -3.65631, -3.83035, -4.81088, -3.07738, -1.80418, -3.20151, -4.05848, -2.03481, -5.14467, -2.50075, -2.1004, -2.79791, -1.79425, -2.99624, -1.33846, -2.65935, -2.49337, -2.79708, -3.43074, -2.18346, 
2011_6: -3.36171, -2.6985, -3.28325, -3.80183, -1.84147, -2.79117, -3.54839, -3.33504, -2.80351, -1.2929, -3.63533, -3.87827, -3.7517, -2.78428, -0.434915, -3.03347, -3.45923, -2.98959, -4.33183, -3.92441, -2.1786, -2.88662, -1.68481, -7.87919, -1.49749, -3.59845, -2.80199, -2.95256, -2.80583, -3.15658, 
2010_6: -3.68479, -3.11748, -4.20707, -5.88279, -2.023, -2.11736, -3.59183, -3.39806, -4.57497, -1.16034, -3.52469, -3.87307, -3.16006, -3.15212, -1.02483, -3.03135, -3.41618, -1.69935, -3.09614, -4.36327, -3.06656, -3.48208, -2.57165, -3.27936, -1.20452, -3.87255, -1.91006, -3.22862, -3.22879, -3.07176, 
2016_5: -2.89208, -3.25432, -2.5575, -3.92494, -3.02983, -2.82169, -3.5155, -3.80804, -3.52991, -1.72725, -2.86779, -3.94272, -4.00657, -3.14097, -1.16079, -3.03531, -2.55413, -2.13465, -3.99795, -1.90672, -2.41918, -2.62144, -2.02634, -3.47995, -0.278921, -3.3159, -3.49573, -2.85195, -2.79076, -3.00621, 
2013_7: -2.4114, -4.39493, -2.11212, -3.6326, -2.19875, -2.1881, -4.44342, -3.04112, -1.97061, -1.04659, -4.91487, -3.461, -3.046, -8.26499, -1.03737, -3.78517, -2.87426, -2.86395, -3.61755, -2.26795, -2.52104, -4.19917, -2.75677, -2.68164, -0.899582, -3.18355, -1.98419, -2.92677, -2.79297, -2.68083, 
2007_8: -3.37539, -3.10264, -3.12207, -3.61624, -2.51871, -2.2312, -2.84996, -3.14293, -2.97158, -0.961018, -4.17683, -3.25046, -3.64081, -3.06209, -1.11675, -3.01921, -3.00403, -2.84338, -3.81467, -3.53702, -2.31657, -2.94348, -2.05392, -1.8768, -0.952611, -3.45829, -2.37082, -3.74757, -3.30623, -3.57491, 
